image-n,min,max,Q1,Q2,Q3,mean
138,0.4588235294117647,1.0,0.6,0.7450980392156863,0.9294117647058824,0.755375353479791
139,0.4588235294117647,1.0,0.6039215686274509,0.7568627450980392,0.9490196078431372,0.7630778350533487
140,0.4588235294117647,1.0,0.8235294117647058,0.9921568627450981,1.0,0.9052398437813912
147,0.4588235294117647,1.0,0.6705882352941176,0.9019607843137255,1.0,0.8316129232359888
148,0.4588235294117647,1.0,0.6666666666666666,0.8431372549019608,0.996078431372549,0.8103958314890363
149,0.4588235294117647,1.0,0.6627450980392157,0.9098039215686274,1.0,0.8317317781819609
150,0.4588235294117647,1.0,0.615686274509804,0.803921568627451,1.0,0.7881838534872017
151,0.4588235294117647,1.0,0.6039215686274509,0.7764705882352941,0.996078431372549,0.7758597942815626
152,0.4588235294117647,1.0,0.6274509803921569,0.8392156862745098,1.0,0.8054005752934639
153,0.4588235294117647,1.0,0.6352941176470588,0.8431372549019608,1.0,0.8071192908775956
154,0.4588235294117647,1.0,0.6196078431372549,0.807843137254902,1.0,0.7905086255357963
155,0.4588235294117647,1.0,0.6235294117647059,0.8509803921568627,1.0,0.8061898851224955
156,0.4588235294117647,1.0,0.5764705882352941,0.7176470588235294,0.9607843137254902,0.7442342967670721
157,0.4588235294117647,1.0,0.5372549019607843,0.6745098039215687,1.0,0.7311494558224066
158,0.4588235294117647,1.0,0.5333333333333333,0.6431372549019608,0.9333333333333333,0.7066780918666609
159,0.4588235294117647,1.0,0.6666666666666666,0.984313725490196,1.0,0.8410513458848798
167,0.4588235294117647,1.0,0.7294117647058823,0.9019607843137255,1.0,0.8514005704794468
168,0.4588235294117647,1.0,0.7411764705882353,0.9803921568627451,1.0,0.8675098227483393
169,0.4588235294117647,1.0,0.7568627450980392,0.984313725490196,1.0,0.8722696386169748
184,0.4588235294117647,1.0,0.6196078431372549,0.792156862745098,0.984313725490196,0.7804911490926593
186,0.4588235294117647,1.0,0.6588235294117647,0.8313725490196079,1.0,0.8154396835724469
187,0.4588235294117647,1.0,0.8,0.9882352941176471,1.0,0.8962190822019881
188,0.4588235294117647,1.0,0.7019607843137254,0.9450980392156862,1.0,0.8504064876339452
189,0.4588235294117647,1.0,0.6901960784313725,0.9019607843137255,1.0,0.8370841559420337
251,0.4588235294117647,1.0,0.6235294117647059,0.8,1.0,0.7967146979818177
253,0.4588235294117647,1.0,0.792156862745098,0.984313725490196,1.0,0.8920238389938594
